,YEAR,MONTH,DISTRICT,PRECTOT
678,1998,7,Baglung,198.78
679,1998,8,Baglung,214.95
680,1998,9,Baglung,87.17
681,1998,10,Baglung,46.2
682,1998,11,Baglung,0.86
683,1998,12,Baglung,0.0
684,1999,1,Baglung,10.64
685,1999,2,Baglung,0.3
686,1999,3,Baglung,0.13
687,1999,4,Baglung,10.72
688,1999,5,Baglung,45.57
689,1999,6,Baglung,57.66
690,1999,7,Baglung,69.47
691,1999,8,Baglung,111.14
692,1999,9,Baglung,48.62
693,1999,10,Baglung,50.86
694,1999,11,Baglung,0.0
695,1999,12,Baglung,0.29
696,2000,1,Baglung,2.46
697,2000,2,Baglung,3.57
698,2000,3,Baglung,2.23
699,2000,4,Baglung,1.21
700,2000,5,Baglung,56.53
701,2000,6,Baglung,122.26
702,2000,7,Baglung,174.57
703,2000,8,Baglung,195.97
704,2000,9,Baglung,118.4
705,2000,10,Baglung,0.18
706,2000,11,Baglung,8.06
707,2000,12,Baglung,0.02
708,2001,1,Baglung,0.03
709,2001,2,Baglung,0.26
710,2001,3,Baglung,11.58
711,2001,4,Baglung,5.7
712,2001,5,Baglung,54.62
713,2001,6,Baglung,77.51
714,2001,7,Baglung,130.14
715,2001,8,Baglung,171.97
716,2001,9,Baglung,147.51
717,2001,10,Baglung,18.29
718,2001,11,Baglung,0.56
719,2001,12,Baglung,0.0
720,2002,1,Baglung,12.86
721,2002,2,Baglung,13.11
722,2002,3,Baglung,10.13
723,2002,4,Baglung,1.21
724,2002,5,Baglung,34.53
725,2002,6,Baglung,61.45
726,2002,7,Baglung,109.41
727,2002,8,Baglung,31.52
728,2002,9,Baglung,71.18
729,2002,10,Baglung,10.67
730,2002,11,Baglung,0.74
731,2002,12,Baglung,16.04
732,2003,1,Baglung,7.18
733,2003,2,Baglung,28.36
734,2003,3,Baglung,1.06
735,2003,4,Baglung,12.23
736,2003,5,Baglung,6.09
737,2003,6,Baglung,69.41
738,2003,7,Baglung,152.08
739,2003,8,Baglung,106.45
740,2003,9,Baglung,68.72
741,2003,10,Baglung,15.84
742,2003,11,Baglung,0.0
743,2003,12,Baglung,5.16
744,2004,1,Baglung,29.53
745,2004,2,Baglung,0.01
746,2004,3,Baglung,7.97
